Hi.	嗨。
I have a cough.	我咳嗽。
I have a dream.	我有一个梦想。
I have hiccups.	我打嗝了。
I have no time.	我没时间。
I hiccup a lot.	我经常打嗝。
I like flowers.	我喜欢花。
I like jogging.	我喜欢跑步。
I like reading.	我喜欢阅读。
I like skating.	我喜欢滑冰。
I like to read.	我喜欢阅读。
I love my life.	我爱我的生命。
I love my wife.	我爱我的妻子。
I love parties.	我爱派对。
I love sailing.	我喜欢帆船运动.
I met a friend.	我遇见一个朋友。
I need it ASAP.	我尽快需要。
I need my coat.	我需要我的大衣。
I need to know.	我需要知道。
I rest my case.	本人对案情陈述完毕.
I saw five men.	我看到了五个男人。
I should do it.	我应该去做。
I study Korean.	我学韩语。
I will sue you.	我要控告你。
I'll alert Tom.	我会警告汤姆。
I'll scold him.	我会责备他。
I'll see to it.	我会留意的。
I'll stay home.	我会待在家里。
I'll treat you.	我请你。
I'm a good guy.	我是一个好人。
I'm behind him.	我在他后面。
I'm free today.	我今天有空。
I'm from Tokyo.	我来自东京。
I'm not guilty.	我没有罪。
I'm undressing.	我脱衣服。
I'm very happy.	我很快乐。
I've seen that.	我见过。
Is he Japanese?	他是日本人吗？
Isn't it black?	它不是黑色的吗？
It is so early.	太早了。
It makes sense.	那样说得通。
It took months.	它花了几个月。
It's dangerous!	它是危险的!
It's my patent.	那是我的专利发明.
It's not funny.	这不好笑。
It's the truth.	这是事实。
It's too large.	它太大了。
It's up to you.	这就要看您了。
It's well done.	做得很好。
It's your book.	它是你的书。
It's your move.	该你走了。
Keep listening.	继续听。
Let me do that.	让我去做。
Listen to this.	听听这个。
Marked by pits.	有坑洼的，有坑洞的
My name is Tom.	我叫Tom。
Open your coat.	你宽宽大衣吧.
Please come in.	请进来。
Please do that.	麻烦您那样做。
Please help me.	请帮我。
Please wash it.	请清洗它。
Report here at9	九点半到这儿报到。你开始周薪200美元，在三天培训期间享受全额工资。
Say it clearly.	说清楚。
Science is fun.	科学好玩。
She grew roses.	她种了玫瑰。
Smoke appeared.	烟雾出现了。
Stop grumbling.	停止发牢骚吧。
Stop resisting!	停止抵抗！
Take care. bye!	多保重。再见。
Thank you, sir.	谢谢您，先生。
That's a shame.	那是一个耻辱。
That's perfect.	那是完美的。
That's too bad.	多遗憾啊！
The birds sang.	鸟儿歌唱。
The flag is up.	旗子升起了。
The lion roars.	这狮子吼叫。
The pain eased.	疼痛减轻了.
They let me go.	他们让我走。
They were good.	他们不错。
This is my bag.	那是我的包。
Tom can't swim.	汤姆不会游泳。
Tom is a rabbi.	汤姆是个拉比。
Tom looks pale.	汤姆看起来很苍白。
Tom's fearless.	汤姆无所畏惧。
Tom's laughing.	汤姆在笑。
Tom's thrilled.	汤姆兴奋不已。
Treat him well.	对他好一点。
Turn up the TV.	把电视声音调大点儿。
Was Tom asleep?	汤姆睡着了吗？
Wash your feet.	洗你的脚。
Watch yourself.	自己当心啊。
We study music.	我们学习音乐。
We're not late.	我们没迟到。
Were you right?	你是对的吗？
What about you?	您呢？
What do you do?	你做什么工作？
What's her job?	她做什么工作？
Where do we go?	我们去哪儿？
Where were you?	之前你在哪里？
Who's that guy?	那家伙是谁？
Why is he here?	为什么他在这儿？
Yes, certainly.	是的，当然可以。
Yes, of course.	是的，当然。
You look bored.	你看起来很无聊。
You look tired.	你看起来很疲倦。
You must do it.	你必须去做。
You're kidding!	你开玩笑吧！
oh! What a day!	喔！多累的一天！
A fossil record.	化石的记录
A pelvic artery.	一条靠近骨盆的动脉
An improper act.	不恰当的举动
Are you serious?	你是认真的吗？
Are you thirsty?	你渴吗？
Balls are round.	球是圆的。
Be happy for me.	为我感到高兴吧。
Behave yourself.	规矩点。
Black suits you.	黑色很衬你。
Boil some water.	烧一点水。
Call the police!	报警！
Call the police.	报警！
Can I try it on?	我能试穿一下吗？
Close your eyes.	闭上你的眼睛。
Congratulations!	恭喜！
Count to thirty.	数到三十。
Did Tom say who?	汤姆说是谁了吗？
Did you like it?	你以前喜欢吗？
Did you miss me?	你想我了？
Dinner is on me.	晚饭我请客。
Do you go often?	您经常去吗？
Do you have one?	你有吗？
Do you know him?	你认识他吗?
Do you like rap?	你喜欢说唱音乐吗？
Do you remember?	你记得吗？
Does love exist?	爱存在吗？
Don't be awkward	不要出难题了，我们必须赶五点钟前把这项工作干完。
Don't open that.	别打开那个。
Don't run risks.	不要冒险。
Don't tell lies.	别说谎!
Drive carefully.	开车小心点。
Erect a dynasty.	建立一个朝代
Get out of here.	离开这里。
Give it to them.	把它给他们。
Go to the patio.	去露台。
Green suits you.	绿色适合你。
Have a nice day.	祝你一天过得愉快。
He began to cry.	他开始哭了。
He has no style.	他没有风度。
He is my father.	他是我父亲。
He is very kind.	他非常亲切。
He looks strong.	他看起来很强壮。
He loves trains.	他喜欢火车。
He sings treble.	他唱最高音部。
He tends to lie.	他企图说谎。
He tires easily.	他很容易觉得累。
He's a comedian.	他是喜剧演员。
He's a good guy.	他是个好人。
He's a good lad.	他是个好人。
He's a good man.	他是个好人。
He's a tall boy.	他是一个高大的男孩。
He's not a hero.	他不是英雄。
He's not stupid.	他不是傻子。
He's very angry.	他非常生气。
Hi! How are you?	嗨！你好吗？
His word is law.	他的话就是命令。
How do you know?	我怎么知道？
How is everyone?	大家好吗？
How is it going?	你们好吗？
How old are you?	你几岁?
How rude of you!	你真粗鲁！
I ache all over.	我全身酸痛。
I am a good boy.	我是一个好男孩。
I am from China.	我是从中国来的。
I am in trouble.	我遇到困难了。
I ate the apple.	我吃了这个苹果。
I booked a seat.	我订了一个位子。
I bought a book.	我买了一本书。
I called Tom up.	我打电话给汤姆了。
I can't see you.	我看不见你。
I can't undo it.	我不能取消它。
I feel relieved.	我感觉轻松了。
I get up at six.	我六点起床。
I had no choice.	那时我没有选择的余地。
I hate studying.	我讨厌学习。
I have brothers.	我有兄弟。
I have ten pens.	我有十支笔。
I have to hurry!	我要赶紧了!
I lent him a CD.	我借给他一盘CD。
I like football.	我喜欢足球。
I like the cold.	我喜欢寒冷。
I like this dog.	我喜欢这只狗。
I like your car.	我喜欢您的车。
I lived in Rome.	我住在罗马。
I love this car.	我爱这台车。
I might say yes.	我可能会说是。
I must help her.	我必须帮助她。
I need a friend.	我需要个朋友。
I paid the bill.	我买了单。
I run every day.	我每天跑步。
I speak Swedish.	我说瑞典语。
I talked to her.	我跟她谈了话。
I teach Chinese.	我教中文。
I want a guitar.	我想要一把吉他。
I want that bag.	我想要那个袋子。
I want to drive.	我想开车。
I was surprised.	我吃惊了。
I wish you'd go.	我希望你去。
I work too much.	我工作得太多了。
I'm a foreigner.	我是一个外国人。
I'm about ready.	我快好了。
I'm feeling fit.	我觉得精神很好。
I'm left-handed.	我是左撇子。
I'm not serious.	我不是认真的。
I'm out of time.	我没时间了。
I'm really busy.	我真的好忙。
I'm still angry.	我还饿着呢。
I'm very hungry.	我很饿。
I'm very lonely.	我很寂寞。
I've had enough.	我已经吃饱了。
Is Tom Canadian?	Tom是加拿大人吗?
Is he breathing?	他在呼吸吗?
Is it too salty?	还有多余的盐吗？
Is she Japanese?	她是日本人吗？
Is the water on?	自来水接通了吗?
Is this a river?	这是一条河吗?
It is up to you.	由你来决定。
It snowed a lot.	下了很多的雪。
It was terrible.	真糟糕。
It's a dead end.	这是个死胡同。
It's a new book.	那本书是一本新书。
It's a nice day.	今天天气很好。
It's a surprise.	这是一个惊喜。
It's almost six.	快要六点了。
It's already 11.	已经是11点了。
It's fine today.	今天天气很好。
It's impossible.	这是不可能的。
It's lunch time.	午餐时间到了。
It's over there.	在那里。
It's time to go.	该走了。
Keep on smiling.	保持微笑。
Keep on working.	继续工作！
Large, isn't it?	很大, 不是吗?
Let me go alone.	让我一个人去。
Let me see that.	让我看看。
Let's turn back.	我们掉头吧！
Look at the sky.	看天上。
Look behind you.	瞧你身后。
Make it smaller.	把它弄小一点。
May I try it on?	我能试一下吗？
Maybe next time.	也许下一次吧。
Meals are extra.	伙食费另加。
Men should work.	男人应该工作。
Merry Christmas!	圣诞快乐。
Mom, I'm hungry.	妈妈，我肚子饿了。
My father walks.	我爸爸走路。
My house is big.	我家很大。
My nose tickles.	我鼻子痒痒.
Never say never.	永远不要说永远。
No one was late.	没有人迟到。
No, I didn't go.	不，我没去。
Open the bottle.	把瓶子打开。
Open your mouth!	把嘴张开！
Our watchword is	我们的口号是
Please be quiet.	请安静。
Please continue.	请继续。
Put your hat on.	戴上你的帽子。
Say no to drugs.	对毒品说不。
See you about 7.	我们7点左右碰头。
See you tonight.	今晚见。
She disappeared.	她消失了。
She is graceful.	她举止优雅。
She looked away.	她转移了视线。
She looks young.	她看起来很年轻。
She married him.	她嫁给了他。
She woke him up.	她把他叫醒了。
She worked hard.	她努力地工作。
She's my sister.	她是我的姊妹。
Spring has come.	春天到了。
That dog is big.	这只狗很大。
That feels good.	感觉良好。
That isn't fair.	这不公平。
That's not fair.	那是不公平的。
That's too easy.	那太简单了。
That's very big.	那是很大的。
The boy is kind.	他是个好孩子。
The leaves fell.	叶子落了。
The light is on.	灯亮着。
There's no rush.	不急。
There's no salt.	没有盐。
They all did it.	他们都做了。
They are melons.	它们是瓜。
This book's new.	这本书是新的。
This is my bike.	这是我的自行车。
This is my book.	这是我的书。
This is my wife.	这是我的妻子。
This is the end.	这是结束。
This is too big.	这个太大了。
This is typical.	这是典型的。
This isn't good.	这不好。
This isn't love.	这不是爱。
Time for dinner.	吃饭时间到了。
Tom disappeared.	汤姆不见了。
Tom fell asleep.	汤姆睡着了。
Tom felt hungry.	汤姆觉得饿了。
Tom hugged Mary.	汤姆拥抱了玛丽。
Tom is a racist.	汤姆是种族主义者。
Tom is swimming.	汤姆在游泳。
Tom lived there.	汤姆住在这里。
Tom seems tough.	汤姆看来难缠。
Tom was a nurse.	汤姆是个护士。
Tom was popular.	汤姆挺受欢迎。
Tom was sobbing.	汤姆在啜泣。
Turn off the TV.	关闭电视机
Watch your step.	走路小心。
We can't escape.	我们逃不出去。
We have no time.	我们没时间。
We want to know.	我们想知道。
We were friends.	我们是朋友。
What can Tom do?	汤姆能做什么？
What did he say?	他说了什么？
What is missing?	少了什么？
What's happened?	怎么了？
When can we eat?	我们什么时候可以吃？
Who is this boy?	这个男孩是谁？
Why did you cry?	你为什么哭？
Why do that now?	为什么现在做那个？
Yes, definitely.	是的，肯定的。
You can come in.	你可以进来。
You can tell us.	你能告诉我们。
You look guilty.	你看上去心虚。
You look stupid.	你看上去很傻。
You'd better go.	你最好走。
You'll get lost.	你会迷路的。
You're a person.	你是人。
You're terrible.	你真坏。
You're very shy.	你很害羞。
You've been had.	你们被骗了。
Your time is up.	你的时间到了。
can you help me?	你能帮我一个忙吗？
how is it there?	那儿怎么样？
"Look," she said.	“看啊！” 她说道。
A bloodless coup.	不流血的政变
A guiding spirit.	指引方向的神
A palpable tumor.	可触摸的肿瘤
All men must die.	人皆有一死.
Answer the phone.	接电话。
Are you Japanese?	你是日本人吗？
Are you a doctor?	你是医生吗？
Are you a wizard?	你是个术士吗？
Are you busy now?	现在您忙吗？
Are you students?	你们是学生吗？
Aren't you happy?	你不快乐吗?
Ask him his name.	问他一下他的名字。
Bamboo is hollow.	竹子是中空的。
Can you eat this?	这个能吃吗？
Can you save Tom?	你能救汤姆吗？
Car horns blared.	汽车的喇叭响了.
Come with me now.	现在就跟我来。
Cross one's legs.	交叉着双腿
